tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Bądźże pozdrowiona;1;Pieśni do Najświętszego Sakramentu;61;F;0/0/1/0/0/0;"1.
Bądźże pozdrowiona, Hostio żywa
W której Jezus Chrystus Bóstwo ukrywa
*
Witaj, Jezu, Synu Maryi
Tyś jest Bóg prawdziwy w świętej Hostyi
2.
Bądźże pozdrowione, drzewo żywota
Niech kwitnie niewinność, anielska cnota 
*
Witaj, Jezu, Synu Maryi…
3.
Bądźże pozdrowiony, Baranku Boży
Zbaw nas, gdy miecz Pański na złych się sroży 
*
Witaj, Jezu, Synu Maryi…
4.
Bądźże pozdrowiony, Anielski Chlebie
W tym tu Sakramencie wielbimy Ciebie 
*
Witaj, Jezu, Synu Maryi…
5.
Bądźże pozdrowiona, święta Krynico
Serce Przenajświętsze, łaski świątnico 
*
Witaj, Jezu, Synu Maryi…
6.
Bądźże pozdrowiony, Boski kapłanie
Przyjm nasze ofiary, usłysz błaganie 
*
Witaj, Jezu, Synu Maryi…
7.
Bądźże pozdrowiona, żywa Ofiaro
Broń nas przed doczesną i wieczną karą 
*
Witaj, Jezu, Synu Maryi…
8.
Bądźże pozdrowiony, Wszechmocny Boże
Już Cię kocham szczerze, jak serce może 
*
Witaj, Jezu, Synu Maryi"
Będę Cię wielbił, mój Panie;1;Pieśni przygodne;69;d;1/0/0/0/0/0;"1.
Będę Cię wielbił, mój Panie
Póki mnie na świecie stanie
Boś mnie w przygodzie ratował
I śmiechów ludzkich uchował
2.
Panie, wołałem ku Tobie
A Tyś mnie wsparł w mej chorobie
Dodałeś mi swej pomocy
Żem wiecznej nie ujrzał nocy
3.
Użyłeś zwykłej litości
Płacz obróciłeś w radości
Wór ze mnie zdjąłeś żałobny
A płaszcz włożyłeś ozdobny
4.
Przeto Cię wesoła wszędzie
Lutnia ma uwielbiać będzie
Twa chwała, o wieczny Panie
W mych ustach już nie ustanie"
Bliskie jest Królestwo Boże;1;Pieśni na Wielki Post;76;c;0/1/0/0/0/0;"*
Bliskie jest królestwo Boże,
nawracajmy się i wierzmy w Ewangelię.
**
1.
Bóg _jest_ światłością
i nie ma w Nim żad_nej_ ciemności.
*
Bliskie jest królestwo Boże…
2.
Jeżeli chodzi_my_ w światłości,
wtedy mamy łączność _mię_dzy sobą.
*
Bliskie jest królestwo Boże…
3.
Krew Jezusa, _Je_go Syna
oczyszcza nas z wszel_kie_go grzechu.
*
Bliskie jest królestwo Boże…
4.
Jeżeli mówimy, że nie _ma_my grzechu,
to samych siebie o_szu_kujemy.
*
Bliskie jest królestwo Boże…
5.
Jeżeli wyznajemy _na_sze grzechy,
Bóg oczyści nas z wszelkiej _nie_prawości.
*
Bliskie jest królestwo Boże…"
Błogosław, Panie, nas;1;Pieśni przygodne;80;Es;0/1/0/0/1/0;"*
Błogosław, Panie, nas
Na pracę i znojny trud
Wszak Tyś sam wybrał nas
By Cię poznał i wielbił świat
Alleluja
**
1.
Z radością wiernych sług bierzemy jarzmo Twe
Poznawszy wolę Twą idziemy pełnić ją
*
Błogosław, Panie, nas…
2.
Oblicze wyryj Twe na dziełach naszych rąk
Cierń pychy wyrwij z nich, niech kornie służą Ci
*
Błogosław, Panie, nas…
3.
Świat cały szuka Cię, choć nie zna Twoich dróg
Niech życiem świadczym Mu, żeś dobry Ojciec, Bóg 
*
Błogosław, Panie, nas…
4.
Wśród świata stawiasz krzyż i przezeń zbawiasz go
Konając z sercem Twym dajemy życie swe
*
Błogosław, Panie, nas…
5.
Miłością złącz nas swą i nią przemieniaj świat
Niech pozna przyjaźń Twą, żeś Ty dlań lekarz, brat 
*
Błogosław, Panie, nas…"
Błogosławiona jesteś, Maryjo;5;Pieśni na Adwent;86;h;0/0/0/0/0/do 16 grudnia;"1.
Błogosławiona jesteś, Maryjo
i wywyższona przez Pana.
On wielkich rzeczy w Tobie dokonał,
Niepokalana.
2.
Ty, któraś Słowo z wiarą przyjęła,
by w Tobie Ciałem się stało,
zrodziłaś światu Jutrzenkę Nową,
przedwieczną Światłość.
3.
Bądź nam obroną, Bogarodzico,
gdy się błąkamy w ciemności.
Do światła wiary prowadź na nowo,
drogą świętości."
Błogosławione serca;1;Pieśni wspólne o Świętych;89;d;1/0/0/0/0/Do świętych Pasterzy;"1.
Błogosławione serca, które płoną
Miłością Boga i Jego przykazań
Błogosławione oczy, które widzą
Majestat Stwórcy i marność stworzenia
2.
Błogosławione ręce, które sieją
Zbawienne ziarno Nowiny Chrystusa
Błogosławione dłonie namaszczone
Co leczą rany balsamem pokoju
3.
Błogosławione usta pełne wiary
Głoszące prawdę o Słowie wcielonym
Błogosławione stopy, co szukają
Zbłąkanych owiec wśród cierni pustkowia
4.
Błogosławieni, który własne życie
Złożyli w darze dla dobra Kościoła
Błogosławieni słudzy odkupienia
Pasterze ludu Nowego Przymierza
5.
Błogosławiony jesteś ponad wszystko
Jedyny Boże na tronie swej chwały
Panie wszechświata: Ojcze z Twoim Synem
I Duchem Świętym pociechy i łaski "
Boże mocny, Boże cudów;1;Pieśni przygodne;122;A;0/1/0/0/0/0;"1.
Boże mocny, Boże cudów
Przenajświętszy Ojcze nasz
Co dla szczęścia wszystkich ludów
Dobroć, moc i łaskę masz
Który widzisz serca drgnienie
I najskrytsze myśli znasz
Racz wysłuchać me westchnienie
Przenajświętszy Ojcze nasz
2.
Spraw, abyśmy korzystali
Z darów udzielonych nam
Byśmy przez nie uzyskali
Wstęp do Twych niebieskich bram
Udziel w pracy wytrwałości
Łaska Twa niech wzmacnia nas
Byśmy mężnie ku wieczności
Szli z weselem, a bez zmaz"
Boże w dobroci;1;Sakramenty i sakramentalia;126;Es;1/1/0/0/0/0;"1.
Boże w dobroci nigdy nie przebrany
Żadnym językiem niewypowiedziany
Ty jesteś godzien, Ty jesteś godzien wszelakiej miłości
Poszanowania, poszanowania, chwały, uczciwości
2.
Ciebie czczę, pragnę i ważę samego
Nad wszystkie dobra Tyś u serca mego
Najwyższe dobro, najwyższe dobro, Tyś w najwyższej cenie
Sam jeden u mnie, sam jeden u mnie nad wszystko stworzenie
3.
Choćbyś za grzechy nie karał mnie, Panie
Przecież skruszony żałowałbym za nie
A żałowałbym, a żałowałbym dla tego samego
Żem Cię obraził, żem Cię obraził, Pana tak dobrego
4.
Więc, o mój Boże, i teraz żałuję
Dlatego, że Cię nad wszystko miłuję
I to u siebie, i to u siebie, statecznie stanowię
Że grzechów swoich, że grzechów swoich nigdy nie ponowię
5.
Mam mocną wolę spowiadać się szczerze
I zawsze trzymać z Tobą to przymierze
Co gdy uczynię, co gdy uczynię, spodziewam się, Panie
Mieć w niebie z Tobą, mieć w niebie z Tobą wieczne królowanie"
Boże, coś Polskę;2;Hymny;129;B;0/0/0/0/1/0;"1.
Boże, coś Polskę przez tak liczne wieki,
otaczał blaskiem potęgi i chwały,
coś ją osłaniał tarczą swej opieki 
od nieszczęść, które pognębić ją miały.
*
Przed Twe ołtarze zanosim błaganie
ojczyznę wolną pobłogosław, Panie!
2.
Ty, któryś potem, tknięty jej upadkiem,
wspierał walczących za najświętszą sprawę 
i chcąc świat cały mieć jej męstwa świadkiem, 
w nieszczęściach samych pomnażał jej sławę.
*
Przed Twe ołtarze zanosim błaganie…
3.
Powstała z grobu na Twe władne słowo 
Polska, wolności narodów chorąży, 
pierzchnęły straże, a ponad jej głową 
znowu swobodnie orzeł biały krąży!
*
Przed Twe ołtarze zanosim błaganie…"
Boże, lud Twój;1;Pieśni mszalne;132;D;1/0/0/0/0/0;"Boże, lud Twój czcią przejęty
Twoich dzieł wszechmocność głosi
Oczy na Twój ołtarz święty
Serce swe do Ciebie wznosi

Liczne nasze ciążą winy
Lecz niech żal nasz litość wznieci
Przyjmij, Ojcze, grzeszne syny
Nie odpychaj swoich dzieci"
Boże, obdarz Kościół Twój;1;Pieśni przygodne;133;C;1/0/0/0/0/0;"*
Boże, obdarz Kościół Twój
Jednością i pokojem
**
1.
Uradowałem się wezwaniem
Pójdziemy do domu Pana
*
Boże, obdarz Kościół Twój…
2.
I oto stoję u bram Twoich
Jeruzalem nowe, Kościele Święty
*
Boże, obdarz Kościół Twój…
3.
O Jeruzalem, miasto pokoju
W Tobie wszyscy się jednoczą 
*
Boże, obdarz Kościół Twój…
4.
Przychodzą doń pokolenia
Aby wielbić imię Pana 
*
Boże, obdarz Kościół Twój…
5.
Prosimy o pokój dla ludu Twego
Niech będą bezpieczni, którzy Cię miłują 
*
Boże, obdarz Kościół Twój…
6.
Dla braci i bliźnich naszych
Prosimy o dobra Twoje 
*
Boże, obdarz Kościół Twój..."
Boże, zmiłuj się nad nami;1;Pieśni przygodne;128;Es;1/1/0/0/1/0;"1.
Boże, zmiłuj się nad nami
Pobłogosław, udziel łaski
Niechaj znowu oglądamy
Twe oblicze pełne blasku
*
Niechaj sławią Cię narody
Niechaj sławią Cię narody wszystkie
2.
Niech świat cały pozna wreszcie
Ciebie, Panie, Twoje drogi
Niechaj przyjmą Twe zbawienie
Wszyscy ludzie i narody
*
Niechaj sławią Cię narody…
3.
Niechaj radość zapanuje
Pośród ludów całej ziemi
Żeś Ty, Panie sprawiedliwy
Rządzisz i kierujesz nimi
*
Niechaj sławią Cię narody…
4.
Ziemia plony już wydała
Bóg nam dał błogosławieństwo
Niech rozbrzmiewa Jego chwała
W każdym czasie, w każdym miejscu
*
Niechaj sławią Cię narody…"
Bóg kiedyś stał się jednym z nas;1;;101;C;0/1/1/0/0/0;"1.
Bóg kiedyś stał się jednym z nas,
by nas przemienić w siebie.
*
Przyjdź, Jezu mój,
zostań wśród nas
na zawsze już.=
2.
Uczył, że Pan Bóg kocha nas,
wszyscy jesteśmy braćmi.
*
Przyjdź, Jezu mój…
3.
Cierpiał na krzyżu wiele ran,
by zmazać nasze grzechy.
*
Przyjdź, Jezu mój…
4.
Zmartwychwstał z grobu po trzech dniach,
by niebo nam otworzyć.
*
Przyjdź, Jezu mój…
5.
Ducha Świętego zesłał nam,
by wszystkich nas uświęcił.
*
Przyjdź, Jezu mój…
6.
Założył Święty Kościół swój,
byśmy z Nim jedno byli.
*
Przyjdź, Jezu mój…
7.
Maryję Matkę ludziom dał,
by wspomożeniem była.
*
Przyjdź, Jezu mój…"
Bóg się rodzi;6;Pieśni na Boże Narodzenie;105;C;0/0/0/0/0/0;"1.
Bóg się rodzi, moc truchleje, * Pan niebiosów obnażony!
Ogień krzepnie, blask ciemnieje, * ma granice nieskończony!
Wzgardzony, okryty chwałą! * Śmiertelny, Król nad wiekami
A Słowo Ciałem się stało i mieszkało między nami.
2.
Cóż masz, niebo, nad ziemiany? * Bóg porzucił szczęście twoje.
Wszedł między lud ukochany, * dzieląc z nim trudy i znoje.
Niemało cierpiał, niemało, * żeśmy byli winni sami.
A Słowo Ciałem się stało i mieszkało między nami.
3.
W nędznej szopie urodzony, * żłób Mu za kolebkę dano.
Cóż jest, czym był otoczony? * Bydło, pasterze i siano. 
Ubodzy! Was to spotkało, * witać Go przed bogaczami.
A Słowo Ciałem się stało i mieszkało między nami.
4.
Potem i króle widziani * cisną się między prostotą,
niosąc dary Panu w dani: * mirrę, kadzidło i złoto.
Bóstwo to razem zmieszało * z wieśniaczymi ofiarami
A Słowo Ciałem się stało i mieszkało między nami
5.
Podnieś rękę, Boże Dziecię, * błogosław ojczyznę miłą!
W dobrych radach, w dobrym bycie * wspieraj jej siłę swą siłą,
dom nasz i majętność całą * i wszystkie wioski z miastami.
A Słowo Ciałem się stało i mieszkało między nami"
Bracia, patrzcie jeno;6;Kolędy domowe;136;F;0/0/0/0/0/0;"1.
Bracia patrzcie jeno
jak niebo goreje
znać, że coś dziwnego
w Betlejem się dzieje.
Rzućmy budy, warty, stada,
niechaj nimi Pan Bóg włąda.
= A my do Betlejem.
2.
Patrzcie, jak tam gwiazda
światłem swoim miga!
Pewnie do uczczenia
Pana swego ściga.
Krokiem śmiałym i wesołym
śpieszmy i uderzmy czołem;
= przed Panem w Betlejem
3.
Wszakże powiedziałem,
że cuda ujrzymy
Dziecię, Boga świata,
w żłobie zobaczymy.
Patrzcie, jak biedne okryte,
w żłobku Panię znakomite.
= W szopie przy Betlejem "
Być bliżej Ciebie chcę;1;Pieśni przygodne;142;c;1/1/0/0/1/0;"1.
Być bliżej Ciebie chcę, o Boże mój
Z Tobą przez życie lżej nieść krzyża znój
Ty w sercu moim trwasz z miłością Stwórcy ziem
Tulisz w ojcowski płaszcz, chroniąc mnie w nim
2.
Być bliżej Ciebie chcę na każdy dzień
Za Tobą życiem swym iść jako cień
Daj tylko, Boże dusz, obecność Twoją czuć
Myśl moją pośród burz na Ciebie zwróć
3.
Choć jak wędrowiec sam idę przez noc
W Tobie niech siłę mam i w Tobie moc
Gdy czuwam i wśród snu, czy słońce jest, czy mrok
Niechaj mnie strzeże Twój, o Panie, wzrok
4.
Być bliżej Ciebie chcę i w śmierci czas
Gdy mnie już będzie krył grobowy głaz
Być bliżej Ciebie chcę, to me pragnienie czuj
Bom ja jest dziecię Twe, Tyś Ojciec mój"
Była cicha i piękna;3;;144;F;0/0/1/0/0/0;"1.
Była cicha i piękna jak wiosna
Żyła prosto, zwyczajnie jak my
Ona Boga na świat nam przyniosła
I na Ziemi wśród łez nowe dni zajaśniały
*
Matka, która wszystko rozumie
Sercem ogarnia każdego z nas
Matka zobaczyć dobro w nas umie
Ona jest z nami w każdy czas
2.
Dzisiaj światu potrzeba dobroci
By niepokój zwyciężyć i zło
Trzeba ciepła, co życie ozłoci
Trzeba Boga, więc ludziom nieśmy Go, tak jak Ona
*
Matka, która wszystko rozumie…
3.
Życie niesie ze sobą cierpienie
Zewsząd krzyże, zawody i ból
Serce ludzkie wśród męki, udręczenia
Ma nadzieję, że wciąż Ona czuwa i kocha
*
Matka, która wszystko rozumie…"
Cały świat niech śpiewa;1;Pieśni przygodne;145;G;0/0/0/1/0/0;"*
Cały świat niech śpiewa tę pieśń
Panem naszym Bóg
**
1.
Niech cały świat weseli się w Bogu
Z radością niechaj służy i czcią
Albowiem Pan Bóg jest naszym Stwórcą
On w dłoniach swoich dzierży nasz los
*
Cały świat niech śpiewa tę pieśń…
2.
Pan Bóg jest naszym najlepszym Ojcem
Z radością każdy niech śpieszy doń
Pan Bój jest także naszym Pasterzem
Za Nim jak owce dążymy wciąż 
*
Cały świat niech śpiewa tę pieśń…
3.
Bóg okazuje nam miłosierdzie
Niech wdzięczność nigdy nie gaśnie w nas
Chwała bądź Bogu po wszystkie wieki
Za dobrodziejstwa dawane nam 
*
Cały świat niech śpiewa tę pieśń…"
Chrystus Pan karmi nas;1;Pieśni mszalne;171;f;0/0/1/1/0/W święta NMP;"*
Chrystus Pan karmi nas
Swoim świętym Ciałem
Chwalmy Go na wieki
**
1.
Duchem całym wielbię Pana
Boga Zbawcę jedynego
Bo w Nim samym odnajduję
Wszystką radość życia mego
*
Chrystus Pan karmi nas…
2.
Wielbię, bo chciał wejrzeć z nieba
Na swą sługę uniżoną
By mnie odtąd wszyscy ludzie
Mogli zwać błogosławioną 
*
Chrystus Pan karmi nas…
3.
Sprawił we mnie wielkie dzieła
W swej dobroci niepojętej
On wszechmocny, On najwyższy
On sam jeden zawsze święty 
*
Chrystus Pan karmi nas…
4.
On, który przez pokolenia
Pozostaje miłosierny
Wobec tego, kto Mu służy
I chce zostać Jemu wierny 
*
Chrystus Pan karmi nas…
5.
On, który swą moc objawia
Gdy wyniosłość serc uniża
Każdy zamiar może zburzyć
Który pychą Mu ubliża 
*
Chrystus Pan karmi nas…
6.
W mocy Jego odjąć władzę
A wydźwignąć pokornego
Wszystkich głodnych zaspokoić
Głodem wstrząsnąć bogatego 
*
Chrystus Pan karmi nas…
7.
On się ujął za swym ludem
Dziećmi wiary Abrahama
Pomny na swe miłosierdzie
Obietnicy swej nie złamał 
*
Chrystus Pan karmi nas…"
Chrystus Wodzem;1;Pieśni do Chrystusa Króla;175;C;1/0/0/0/1/0;"*
Chrystus Wodzem, Chrystus Królem
Chrystus, Chrystus władcą nam
**
1.
Boga naszego chwalcie wszystkie ziemie
Daj Mu cześć winną całe ludzkie plemię
Bo litość Jego nad nami stwierdzona
A prawda Pańska wiecznie uiszczona
*
Chrystus Wodzem, Chrystus Królem…
2.
Chwała bądź Bogu w Trójcy Jedynemu
Ojcu, Synowi, Duchowi Świętemu
Jak od początku była tak i ninie
I na wiek wieków niechaj zawsze słynie
*
Chrystus Wodzem, Chrystus Królem…"
Chrystus, Chrystus to nadzieja;1;Pieśni przygodne;178;G;1/0/0/0/0/0;"*
Chrystus, Chrystus to nadzieja cała nasza
Umierając zło zwyciężył, pokój nam ogłasza
On do Ojca nas prowadzi, miłość czyni życia prawem
Chrystus naszym jest pokojem, naszym pojednaniem
** 
1.
On jest Słowem nad wiekami
Pierworodnym pośród stworzeń
Bóg przez Niego dał nam życie
I ukazał nam swą chwałę
*
Chrystus, Chrystus to nadzieja cała nasza…
2.
To On Głową jest Kościoła
I początkiem wszystkich rzeczy
Zechciał Bóg, by cała Pełnia
W Jego ciele zamieszkała 
*
Chrystus, Chrystus to nadzieja cała nasza…
3.
Pokój przyszedł On budować
Między ludźmi dobrej woli
Z Bogiem znowu nas pojednał
Gdy na krzyżu oddał życie 
*
Chrystus, Chrystus to nadzieja cała nasza…
4.
On jednoczy we wspólnocie
Przezwyciężył mur wrogości
Jak Brat starszy nas prowadzi
Do radości swego Ojca 
*
Chrystus, Chrystus to nadzieja cała nasza…"
Chwal, Syjonie, Zbawiciela;1;Pieśni do Najświętszego Sakramentu;179;Es;0/0/1/0/0/0;"1.
Chwal, Syjonie, Zbawiciela
Chwal hymnami wśród wesela
Wodza i Pasterza rzesz
Ile zdołasz, sław Go śmiało
Bo przewyższa wszystko chwałą
Co wyśpiewać pieśnią chcesz
2.
Chwały przedmiot nad podziwy
Chleb żywiący, pokarm żywy
Dzisiaj się przedkłada nam
Chleb ten za wieczerzy stołem
Chrystus, łamiąc z braćmi społem
Apostołom dał go sam
3.
Co Pan czynił przy Wieczerzy
Wskazał, że i nam należy
Spełniać dla pamięci Nań
Pouczeni tą ustawą
Chleb i wino na bezkrwawą
Odkupienia święcim dań
4.
Dogmat dan jest do wierzenia
Że się w Ciało chleb przemienia
Wino zaś w Najświętszą Krew
Gdzie zmysł darmo dojść się stara
Serca żywa krzepi wiara
Porządkowi rzeczy wbrew
5.
Pod odmiennych szat figurą
W znakach różny, nie naturą
Kryje się tajemnic dziw
Ciało strawą, Krew napojem
W obu znakach z Bóstwem swoim
Chrystus cały mieszka żyw"
Chwalcie, łąki umajone;3;Pieśni ku czci NMP;190;F;1/0/0/0/1/0;"1.
Chwalcie łąki umajone, 
góry, doliny zielone; 
chwalcie cieniste gaiki, 
źródła i kręte strumyki!
2.
Co igra z morza falami,
w powietrzu buja skrzydłami, 
chwalcie z nami Panią świata, 
Jej dłoń nasza wieniec splata.
3.
Ona, dzieł Boskich korona,
nad anioły wywyższona; 
choć jest Panią nieba, ziemi, 
nie gardzi dary naszymi.
4.
Wdzięcznym strumyki mruczeniem, 
ptaszęta słodkim kwileniem 
i co czuje, i co żyje,
niech z nami sławi Maryję!"
Chwała i dziękczynienie;2;Pieśni do Najświętszego Sakramentu;184;B;0/0/0/1/0/0;"Chwała i dziękczynienie, bądź w każdym momencie
Jezusowi w Najświętszym Boskim Sakramencie
Ile minut w godzinie, a godzin w wieczności
Tylekroć bądź pochwalon, Jezu, ma miłości"
